word,level,meaning,field,example_index,situation,ko,current_tl,reason
담배,2,タバコ、タバコ,examples.tl,10,税金の話,담배 값이 올라서 많은 사람들이 금연을 시작했어요.,담배 값이 올라서 많은 사람들이 금연을 시작했어요.,same_as_korean
답장,2,返信、返事の手紙,example_tl,,手紙を送った後,친구에게 편지를 보냈는데 아직 답장이 없어요.,친구에게 편지를 보냈는데 아직 답장이 없어요.,same_as_korean
답장,2,返信、返事の手紙,examples.tl,1,手紙を送った後,친구에게 편지를 보냈는데 아직 답장이 없어요.,친구에게 편지를 보냈는데 아직 답장이 없어요.,same_as_korean
답장,2,返信、返事の手紙,examples.tl,10,感謝の気持ちを伝える,바쁘신데 답장을 보내 주셔서 감사합니다.,바쁘신데 답장을 보내 주셔서 감사합니다.,same_as_korean
답장,2,返信、返事の手紙,examples.tl,2,テキストメッセージ,카카오톡 메시지를 보냈는데 답장이 늦게 왔어요.,카카오톡 메시지를 보냈는데 답장이 늦게 왔어요.,same_as_korean
답장,2,返信、返事の手紙,examples.tl,3,メールチェック中,회사에서 보낸 이메일에 빨리 답장해 주세요.,회사에서 보낸 이메일에 빨리 답장해 주세요.,same_as_korean
답장,2,返信、返事の手紙,examples.tl,4,連絡が取れないとき,몇 번 문자를 보냈는데 답장이 없어서 걱정돼요.,몇 번 문자를 보냈는데 답장이 없어서 걱정돼요.,same_as_korean
답장,2,返信、返事の手紙,examples.tl,5,手紙の書き方クラス,편지를 받으면 꼭 답장을 써야 해요.,편지를 받으면 꼭 답장을 써야 해요.,same_as_korean
답장,2,返信、返事の手紙,examples.tl,6,友人に連絡する,오랜만에 연락했더니 친구가 반가운 답장을 보냈어요.,오랜만에 연락했더니 친구가 반가운 답장을 보냈어요.,same_as_korean
답장,2,返信、返事の手紙,examples.tl,7,求人応募,지원서를 보낸 회사에서 면접 답장이 왔어요.,지원서를 보낸 회사에서 면접 답장이 왔어요.,same_as_korean
답장,2,返信、返事の手紙,examples.tl,8,ロマンスについて話す,좋아하는 사람에게 고백 문자를 보냈는데 답장을 기다리고 있어요.,좋아하는 사람에게 고백 문자를 보냈는데 답장을 기다리고 있어요.,same_as_korean
답장,2,返信、返事の手紙,examples.tl,9,先生に質問する,선생님께 질문 이메일을 드렸더니 빠르게 답장해 주셨어요.,선생님께 질문 이메일을 드렸더니 빠르게 답장해 주셨어요.,same_as_korean
당근,2,ニンジン,example_tl,,料理の食材について話す,카레를 만들 때 당근과 감자를 넣어요.,카레를 만들 때 당근과 감자를 넣어요.,same_as_korean
당근,2,ニンジン,examples.tl,1,料理の食材について話す,카레를 만들 때 당근과 감자를 넣어요.,카레를 만들 때 당근과 감자를 넣어요.,same_as_korean
당근,2,ニンジン,examples.tl,10,母の料理,어머니가 당근으로 맛있는 나물을 만들어 주셨어요.,어머니가 당근으로 맛있는 나물을 만들어 주셨어요.,same_as_korean
당근,2,ニンジン,examples.tl,2,健康食品,당근은 눈에 좋은 비타민A가 많이 들어 있어요.,당근은 눈에 좋은 비타민A가 많이 들어 있어요.,same_as_korean
당근,2,ニンジン,examples.tl,3,マートショッピング,마트에서 당근 세 개를 샀어요.,마트에서 당근 세 개를 샀어요.,same_as_korean
당근,2,ニンジン,examples.tl,4,お子様のおかず,아이가 당근을 싫어해서 잘게 썰어서 숨겨 놓았어요.,아이가 당근을 싫어해서 잘게 썰어서 숨겨 놓았어요.,same_as_korean
당근,2,ニンジン,examples.tl,5,ジュース作り,아침마다 당근 주스를 만들어 마셔요.,아침마다 당근 주스를 만들어 마셔요.,same_as_korean
당근,2,ニンジン,examples.tl,6,野菜炒め,당근을 얇게 썰어서 기름에 볶으면 맛있어요.,당근을 얇게 썰어서 기름에 볶으면 맛있어요.,same_as_korean
당근,2,ニンジン,examples.tl,7,冷蔵庫の整理整頓,냉장고에 당근이 몇 개 남아 있어서 국에 넣었어요.,냉장고에 당근이 몇 개 남아 있어서 국에 넣었어요.,same_as_korean
당근,2,ニンジン,examples.tl,8,ウサギに餌をやる,토끼가 당근을 정말 좋아해요.,토끼가 당근을 정말 좋아해요.,same_as_korean
당근,2,ニンジン,examples.tl,9,サラダ作り,샐러드에 당근을 채 썰어서 넣었어요.,샐러드에 당근을 채 썰어서 넣었어요.,same_as_korean
당신,2,あなた（正式な）,example_tl,,歌詞,당신을 사랑한다는 말을 하고 싶어요.,당신을 사랑한다는 말을 하고 싶어요.,same_as_korean
당신,2,あなた（正式な）,examples.tl,1,歌詞,당신을 사랑한다는 말을 하고 싶어요.,당신을 사랑한다는 말을 하고 싶어요.,same_as_korean
당신,2,あなた（正式な）,examples.tl,10,ご依頼の際は,당신만이 이 일을 해결할 수 있어요.,당신만이 이 일을 해결할 수 있어요.,same_as_korean
당신,2,あなた（正式な）,examples.tl,2,正式な手紙,당신의 노력에 진심으로 감사드립니다.,당신의 노력에 진심으로 감사드립니다.,same_as_korean
당신,2,あなた（正式な）,examples.tl,3,夫婦の会話,당신이 없으면 저는 어떻게 살아요.,당신이 없으면 저는 어떻게 살아요.,same_as_korean
당신,2,あなた（正式な）,examples.tl,4,公式発表,당신의 의견이 우리 회사에 큰 도움이 됩니다.,당신의 의견이 우리 회사에 큰 도움이 됩니다.,same_as_korean
당신,2,あなた（正式な）,examples.tl,5,広告コピー,당신의 건강을 위해 이 제품을 추천합니다.,당신의 건강을 위해 이 제품을 추천합니다.,same_as_korean
당신,2,あなた（正式な）,examples.tl,6,詩を読む,당신은 나의 전부예요.,당신은 나의 전부예요.,same_as_korean
당신,2,あなた（正式な）,examples.tl,8,感謝の気持ちを伝える,당신 덕분에 큰 어려움을 이겨낼 수 있었어요.,당신 덕분에 큰 어려움을 이겨낼 수 있었어요.,same_as_korean
당신,2,あなた（正式な）,examples.tl,9,公式イベント,오늘 이 자리에 당신을 초대하게 되어 영광입니다.,오늘 이 자리에 당신을 초대하게 되어 영광입니다.,same_as_korean
대,2,対、約、大きい,example_tl,,試合結果の発表,오늘 경기는 한국 대 일본이에요.,오늘 경기는 한국 대 일본이에요.,same_as_korean
대,2,対、約、大きい,examples.tl,1,試合結果の発表,오늘 경기는 한국 대 일본이에요.,오늘 경기는 한국 대 일본이에요.,same_as_korean
대,2,対、約、大きい,examples.tl,10,分析プレゼンテーション,비용 대 효과를 꼼꼼히 따져 봐야 해요.,비용 대 효과를 꼼꼼히 따져 봐야 해요.,same_as_korean
대,2,対、約、大きい,examples.tl,2,比率の説明,학생 대 선생님의 비율이 30 대 1이에요.,학생 대 선생님의 비율이 30 대 1이에요.,same_as_korean
대,2,対、約、大きい,examples.tl,3,会議の議題,환경 문제에 대한 의견을 나눠 봐요.,환경 문제에 대한 의견을 나눠 봐요.,same_as_korean
대,2,対、約、大きい,examples.tl,4,スポーツ中継,한국 대 브라질 월드컵 경기를 시청했어요.,한국 대 브라질 월드컵 경기를 시청했어요.,same_as_korean
대,2,対、約、大きい,examples.tl,5,サイズの選択,"이 셔츠는 소, 중, 대 세 가지 사이즈가 있어요.","이 셔츠는 소, 중, 대 세 가지 사이즈가 있어요.",same_as_korean
대,2,対、約、大きい,examples.tl,6,比較説明,찬성 대 반대가 거의 비슷해요.,찬성 대 반대가 거의 비슷해요.,same_as_korean
대,2,対、約、大きい,examples.tl,7,今後のスポーツイベント,내일 축구 한국 대 독일전을 꼭 봐야 해요.,내일 축구 한국 대 독일전을 꼭 봐야 해요.,same_as_korean
대,2,対、約、大きい,examples.tl,8,ご注文時,짜장면 대자로 하나 주세요.,짜장면 대자로 하나 주세요.,same_as_korean
대,2,対、約、大きい,examples.tl,9,統計プレゼンテーション,남성 대 여성의 비율을 조사했어요.,남성 대 여성의 비율을 조사했어요.,same_as_korean
대답,2,答え、応答,example_tl,,授業時間,선생님의 질문에 자신 있게 대답을 했어요.,선생님의 질문에 자신 있게 대답을 했어요.,same_as_korean
대답,2,答え、応答,examples.tl,1,授業時間,선생님의 질문에 자신 있게 대답을 했어요.,선생님의 질문에 자신 있게 대답을 했어요.,same_as_korean
대답,2,答え、応答,examples.tl,10,親と子供たち,아버지의 질문에 정직한 대답을 드렸어요.,아버지의 질문에 정직한 대답을 드렸어요.,same_as_korean
대답,2,答え、応答,examples.tl,2,面接の準備,면접에서 좋은 대답을 하려고 많이 연습했어요.,면접에서 좋은 대답을 하려고 많이 연습했어요.,same_as_korean
대답,2,答え、応答,examples.tl,3,子どもとの会話,아이가 엄마 말에 대답을 하지 않아서 화가 났어요.,아이가 엄마 말에 대답을 하지 않아서 화가 났어요.,same_as_korean
대답,2,答え、応答,examples.tl,4,クイズに参加する,퀴즈에서 정확한 대답을 해서 상품을 받았어요.,퀴즈에서 정확한 대답을 해서 상품을 받았어요.,same_as_korean
대답,2,答え、応答,examples.tl,5,電話,전화를 했는데 대답이 없어서 다시 걸었어요.,전화를 했는데 대답이 없어서 다시 걸었어요.,same_as_korean
대답,2,答え、応答,examples.tl,6,試験勉強,이 문제의 대답을 모르겠어서 선생님께 여쭤봤어요.,이 문제의 대답을 모르겠어서 선생님께 여쭤봤어요.,same_as_korean
대답,2,答え、応答,examples.tl,7,正直な会話,그 사람의 대답이 너무 솔직해서 놀랐어요.,그 사람의 대답이 너무 솔직해서 놀랐어요.,same_as_korean
