level,word,meaning,field,example_index,situation,ko,current_tl,proposed_tl,reason,issue_count_for_word
3,가격표,値札,example_tl,,買い物中に価格を確認する,이 옷에 붙어 있는 가격표를 보니 생각보다 비쌌다.,이 옷에 붙어 있는 가격표를 보니 생각보다 비쌌다.,,same_as_korean,11
3,가격표,値札,examples.tl,1,買い物中に価格を確認する,이 옷에 붙어 있는 가격표를 보니 생각보다 비쌌다.,이 옷에 붙어 있는 가격표를 보니 생각보다 비쌌다.,,same_as_korean,11
3,가격표,値札,examples.tl,10,価格について尋ねる,가격표가 없어서 직원에게 가격을 물어봤다.,가격표가 없어서 직원에게 가격을 물어봤다.,,same_as_korean,11
3,가격표,値札,examples.tl,2,割引セールイベント,세일 기간에는 가격표 위에 할인가가 표시된다.,세일 기간에는 가격표 위에 할인가가 표시된다.,,same_as_korean,11
3,가격표,値札,examples.tl,3,ギフト包装,선물로 줄 때는 가격표를 떼는 것이 예의이다.,선물로 줄 때는 가격표를 떼는 것이 예의이다.,,same_as_korean,11
3,가격표,値札,examples.tl,4,アイテムを選ぶ,가격표를 확인하지 않고 계산대에 갔다가 당황했다.,가격표를 확인하지 않고 계산대에 갔다가 당황했다.,,same_as_korean,11
3,가격표,値札,examples.tl,5,比較ショッピング,두 제품의 가격표를 비교해 보았다.,두 제품의 가격표를 비교해 보았다.,,same_as_korean,11
3,가격표,値札,examples.tl,6,店舗の商品ディスプレイ,직원이 새로 들어온 상품에 가격표를 붙이고 있었다.,직원이 새로 들어온 상품에 가격표를 붙이고 있었다.,,same_as_korean,11
3,가격표,値札,examples.tl,7,オンラインショッピング,온라인 쇼핑몰에서는 화면에 가격표가 바로 나타난다.,온라인 쇼핑몰에서는 화면에 가격표가 바로 나타난다.,,same_as_korean,11
3,가격표,値札,examples.tl,8,品物を返品する,반품 시에는 가격표가 그대로 붙어 있어야 한다.,반품 시에는 가격표가 그대로 붙어 있어야 한다.,,same_as_korean,11
3,가격표,値札,examples.tl,9,中古品の販売,중고 물건에는 원래 가격표가 없는 경우가 많다.,중고 물건에는 원래 가격표가 없는 경우가 많다.,,same_as_korean,11
3,가뭄,干ばつ,example_tl,,農業被害,심한 가뭄으로 농작물이 모두 말라 버렸다.,심한 가뭄으로 농작물이 모두 말라 버렸다.,,same_as_korean,11
3,가뭄,干ばつ,examples.tl,1,農業被害,심한 가뭄으로 농작물이 모두 말라 버렸다.,심한 가뭄으로 농작물이 모두 말라 버렸다.,,same_as_korean,11
3,가뭄,干ばつ,examples.tl,10,学校教育,선생님은 가뭄의 원인과 영향에 대해 설명해 주었다.,선생님은 가뭄의 원인과 영향에 대해 설명해 주었다.,,same_as_korean,11
3,가뭄,干ばつ,examples.tl,2,水不足,가뭄이 계속되면서 식수 부족 문제가 심각해졌다.,가뭄이 계속되면서 식수 부족 문제가 심각해졌다.,,same_as_korean,11
3,가뭄,干ばつ,examples.tl,3,報道,올여름 가뭄은 30년 만에 가장 심각한 수준이라고 한다.,올여름 가뭄은 30년 만에 가장 심각한 수준이라고 한다.,,same_as_korean,11
3,가뭄,干ばつ,examples.tl,4,ダムの水位,가뭄 때문에 댐의 수위가 크게 낮아졌다.,가뭄 때문에 댐의 수위가 크게 낮아졌다.,,same_as_korean,11
3,가뭄,干ばつ,examples.tl,5,政府の措置,정부는 가뭄 피해 지역에 긴급 지원을 제공했다.,정부는 가뭄 피해 지역에 긴급 지원을 제공했다.,,same_as_korean,11
3,가뭄,干ばつ,examples.tl,6,気候変動,기후 변화로 인해 가뭄의 빈도가 높아지고 있다.,기후 변화로 인해 가뭄의 빈도가 높아지고 있다.,,same_as_korean,11
3,가뭄,干ばつ,examples.tl,7,祈り,농부들은 가뭄이 끝나기를 간절히 바랐다.,농부들은 가뭄이 끝나기를 간절히 바랐다.,,same_as_korean,11
3,가뭄,干ばつ,examples.tl,8,地下水,가뭄이 심해지면서 지하수를 이용하는 가구가 늘었다.,가뭄이 심해지면서 지하수를 이용하는 가구가 늘었다.,,same_as_korean,11
3,가뭄,干ばつ,examples.tl,9,山火事の危険性,가뭄이 길어지면 산불 위험도 높아진다.,가뭄이 길어지면 산불 위험도 높아진다.,,same_as_korean,11
3,가스레인지,ガスストーブ,example_tl,,料理の準備をする,가스레인지 불을 켜기 전에 가스 밸브를 열어야 해요.,가스레인지 불을 켜기 전에 가스 밸브를 열어야 해요.,,same_as_korean,11
3,가스레인지,ガスストーブ,examples.tl,1,料理の準備をする,가스레인지 불을 켜기 전에 가스 밸브를 열어야 해요.,가스레인지 불을 켜기 전에 가스 밸브를 열어야 해요.,,same_as_korean,11
3,가스레인지,ガスストーブ,examples.tl,10,日常会話,아침마다 가스레인지로 커피를 끓여 마시는 것이 제 습관이에요.,아침마다 가스레인지로 커피를 끓여 마시는 것이 제 습관이에요.,,same_as_korean,11
3,가스레인지,ガスストーブ,examples.tl,2,安全上の注意事項,가스레인지를 사용한 후에는 반드시 불을 꺼야 합니다.,가스레인지를 사용한 후에는 반드시 불을 꺼야 합니다.,,same_as_korean,11
3,가스레인지,ガスストーブ,examples.tl,3,料理中,가스레인지 위에 냄비를 올려놓고 국을 끓이고 있어요.,가스레인지 위에 냄비를 올려놓고 국을 끓이고 있어요.,,same_as_korean,11
3,가스레인지,ガスストーブ,examples.tl,4,クリーニング,가스레인지를 자주 닦지 않으면 기름때가 쌓여요.,가스레인지를 자주 닦지 않으면 기름때가 쌓여요.,,same_as_korean,11
3,가스레인지,ガスストーブ,examples.tl,5,危険な状況,가스레인지 근처에 종이나 천을 두면 화재가 날 수 있어요.,가스레인지 근처에 종이나 천을 두면 화재가 날 수 있어요.,,same_as_korean,11
3,가스레인지,ガスストーブ,examples.tl,6,ガスの安全チェック,가스레인지에서 가스 냄새가 나면 창문을 열고 환기시키세요.,가스레인지에서 가스 냄새가 나면 창문을 열고 환기시키세요.,,same_as_korean,11
3,가스레인지,ガスストーブ,examples.tl,7,調理方法,가스레인지의 불 세기를 조절해 가며 음식을 익혀야 해요.,가스레인지의 불 세기를 조절해 가며 음식을 익혀야 해요.,,same_as_korean,11
3,가스레인지,ガスストーブ,examples.tl,8,家を買う,새 아파트에는 가스레인지 대신 인덕션이 설치되어 있었어요.,새 아파트에는 가스레인지 대신 인덕션이 설치되어 있었어요.,,same_as_korean,11
3,가스레인지,ガスストーブ,examples.tl,9,子供の安全,아이들이 가스레인지에 손을 대지 못하도록 주의해야 합니다.,아이들이 가스레인지에 손을 대지 못하도록 주의해야 합니다.,,same_as_korean,11
3,간을 맞추다,調味料を調整する、味を調える,example_tl,,チゲチゲを煮る,찌개를 간을 맞추기 위해 소금을 조금 더 넣었어요.,찌개를 간을 맞추기 위해 소금을 조금 더 넣었어요.,,same_as_korean,11
3,간을 맞추다,調味料を調整する、味を調える,examples.tl,1,チゲチゲを煮る,찌개를 간을 맞추기 위해 소금을 조금 더 넣었어요.,찌개를 간을 맞추기 위해 소금을 조금 더 넣었어요.,,same_as_korean,11
3,간을 맞추다,調味料を調整する、味を調える,examples.tl,10,新しいレシピを試す,레시피대로 해도 간을 맞추는 건 경험이 필요해요.,레시피대로 해도 간을 맞추는 건 경험이 필요해요.,,same_as_korean,11
3,간을 맞추다,調味料を調整する、味を調える,examples.tl,2,調理の最終段階,다 끓인 후에 간을 맞춰야 해요.,다 끓인 후에 간을 맞춰야 해요.,,same_as_korean,11
3,간을 맞추다,調味料を調整する、味を調える,examples.tl,3,料理初心者へのアドバイス,간을 맞출 때는 조금씩 넣어 가며 맛을 보세요.,간을 맞출 때는 조금씩 넣어 가며 맛을 보세요.,,same_as_korean,11
3,간을 맞추다,調味料を調整する、味を調える,examples.tl,4,スープ調理,국물의 간을 맞추는 게 요리에서 제일 어려워요.,국물의 간을 맞추는 게 요리에서 제일 어려워요.,,same_as_korean,11
3,간을 맞추다,調味料を調整する、味を調える,examples.tl,5,料理教室中に,선생님이 간을 맞추는 방법을 가르쳐 주었어요.,선생님이 간을 맞추는 방법을 가르쳐 주었어요.,,same_as_korean,11
3,간을 맞추다,調味料を調整する、味を調える,examples.tl,6,家族の食事の準備,아버지 입맛에 맞게 간을 맞추었어요.,아버지 입맛에 맞게 간을 맞추었어요.,,same_as_korean,11
3,간을 맞추다,調味料を調整する、味を調える,examples.tl,7,テンジャンチゲを作る,된장찌개는 마지막에 된장으로 간을 맞춰요.,된장찌개는 마지막에 된장으로 간을 맞춰요.,,same_as_korean,11
3,간을 맞추다,調味料を調整する、味を調える,examples.tl,8,料理を評価する,간을 잘 맞춰서 음식이 맛있게 되었어요.,간을 잘 맞춰서 음식이 맛있게 되었어요.,,same_as_korean,11
3,간을 맞추다,調味料を調整する、味を調える,examples.tl,9,一人で料理の練習,간을 맞추다 보니 실력이 점점 늘었어요.,간을 맞추다 보니 실력이 점점 늘었어요.,,same_as_korean,11
3,강수량,降水量、雨量,example_tl,,天気予報,이번 달 강수량이 평년보다 훨씬 많을 것으로 예상된다.,이번 달 강수량이 평년보다 훨씬 많을 것으로 예상된다.,,same_as_korean,11
3,강수량,降水量、雨量,examples.tl,1,天気予報,이번 달 강수량이 평년보다 훨씬 많을 것으로 예상된다.,이번 달 강수량이 평년보다 훨씬 많을 것으로 예상된다.,,same_as_korean,11
3,강수량,降水量、雨量,examples.tl,10,学習内容,지리 시간에 강수량과 기후의 관계를 배웠다.,지리 시간에 강수량과 기후의 관계를 배웠다.,,same_as_korean,11
3,강수량,降水量、雨量,examples.tl,2,気象統計,"서울의 연간 강수량은 약 1,450mm이다.","서울의 연간 강수량은 약 1,450mm이다.",,same_as_korean,11
3,강수량,降水量、雨量,examples.tl,3,農業計画,농부는 강수량 데이터를 보고 파종 시기를 결정했다.,농부는 강수량 데이터를 보고 파종 시기를 결정했다.,,same_as_korean,11
3,강수량,降水量、雨量,examples.tl,4,洪水防止,강수량이 갑자기 늘면 홍수 위험이 커진다.,강수량이 갑자기 늘면 홍수 위험이 커진다.,,same_as_korean,11
3,강수량,降水量、雨量,examples.tl,5,ダム管理,댐 관리자는 매일 강수량을 확인한다.,댐 관리자는 매일 강수량을 확인한다.,,same_as_korean,11
3,강수량,降水量、雨量,examples.tl,6,気候を比較する,이 지역의 강수량은 다른 지역에 비해 적은 편이다.,이 지역의 강수량은 다른 지역에 비해 적은 편이다.,,same_as_korean,11
3,강수량,降水量、雨量,examples.tl,7,天気ニュース,기상청은 이번 주 강수량이 많을 것이라고 발표했다.,기상청은 이번 주 강수량이 많을 것이라고 발표했다.,,same_as_korean,11
3,강수량,降水量、雨量,examples.tl,8,砂漠環境,사막은 강수량이 매우 적어 식물이 자라기 어렵다.,사막은 강수량이 매우 적어 식물이 자라기 어렵다.,,same_as_korean,11
3,강수량,降水量、雨量,examples.tl,9,地域差,장마철에는 남부 지방의 강수량이 특히 많다.,장마철에는 남부 지방의 강수량이 특히 많다.,,same_as_korean,11
3,개선,改善、強化,example_tl,,업무를 논의할 때,업무 효율을 개선하기 위한 회의를 열었어요.,업무 효율을 개선하기 위한 회의를 열었어요.,,same_as_korean,11
3,개선,改善、強化,examples.tl,1,업무를 논의할 때,업무 효율을 개선하기 위한 회의를 열었어요.,업무 효율을 개선하기 위한 회의를 열었어요.,,same_as_korean,11
3,개선,改善、強化,examples.tl,10,환경 대책을 논의할 때,공기 질 개선을 위해 공장 배출 기준을 강화했어요.,공기 질 개선을 위해 공장 배출 기준을 강화했어요.,,same_as_korean,11
3,개선,改善、強化,examples.tl,2,서비스 품질을 논의할 때,고객 불만을 바탕으로 서비스를 개선했어요.,고객 불만을 바탕으로 서비스를 개선했어요.,,same_as_korean,11
3,개선,改善、強化,examples.tl,3,건강 습관을 이야기할 때,생활 습관을 개선하면 건강이 좋아져요.,생활 습관을 개선하면 건강이 좋아져요.,,same_as_korean,11
3,개선,改善、強化,examples.tl,4,학습 방법을 논의할 때,공부 방법을 개선해서 성적이 올랐어요.,공부 방법을 개선해서 성적이 올랐어요.,,same_as_korean,11
3,개선,改善、強化,examples.tl,5,도시 환경을 이야기할 때,도시 환경 개선을 위해 공원을 새로 만들었어요.,도시 환경 개선을 위해 공원을 새로 만들었어요.,,same_as_korean,11
3,개선,改善、強化,examples.tl,6,회사 시스템을 변경할 때,새로운 시스템 도입으로 업무 환경이 크게 개선됐어요.,새로운 시스템 도입으로 업무 환경이 크게 개선됐어요.,,same_as_korean,11
3,개선,改善、強化,examples.tl,7,의사소통 문제를 해결할 때,팀 내 소통 방식을 개선해서 갈등이 줄었어요.,팀 내 소통 방식을 개선해서 갈등이 줄었어요.,,same_as_korean,11
3,개선,改善、強化,examples.tl,8,정책 효과를 평가할 때,이번 정책은 교통 상황을 크게 개선했어요.,이번 정책은 교통 상황을 크게 개선했어요.,,same_as_korean,11
3,개선,改善、強化,examples.tl,9,시험 준비를 이야기할 때,약점을 개선하면 시험에서 더 좋은 결과를 낼 수 있어요.,약점을 개선하면 시험에서 더 좋은 결과를 낼 수 있어요.,,same_as_korean,11
3,건강검진,健康診断;全身的な健康状態をチェックするための健康診断,example_tl,,病院の予約,매년 건강검진을 받는 것이 중요합니다.,매년 건강검진을 받는 것이 중요합니다.,,same_as_korean,11
3,건강검진,健康診断;全身的な健康状態をチェックするための健康診断,examples.tl,1,病院の予約,매년 건강검진을 받는 것이 중요합니다.,매년 건강검진을 받는 것이 중요합니다.,,same_as_korean,11
3,건강검진,健康診断;全身的な健康状態をチェックするための健康診断,examples.tl,10,生活習慣,건강검진 결과를 보고 식습관을 개선하기로 했습니다.,건강검진 결과를 보고 식습관을 개선하기로 했습니다.,,same_as_korean,11
3,건강검진,健康診断;全身的な健康状態をチェックするための健康診断,examples.tl,2,従業員の福利厚生,우리 회사는 직원들에게 무료 건강검진을 제공합니다.,우리 회사는 직원들에게 무료 건강검진을 제공합니다.,,same_as_korean,11
3,건강검진,健康診断;全身的な健康状態をチェックするための健康診断,examples.tl,3,予防医学,건강검진을 통해 질병을 조기에 발견할 수 있습니다.,건강검진을 통해 질병을 조기에 발견할 수 있습니다.,,same_as_korean,11
3,건강검진,健康診断;全身的な健康状態をチェックするための健康診断,examples.tl,4,両親のことを心配する,부모님께 건강검진을 받아 보시라고 권유했습니다.,부모님께 건강검진을 받아 보시라고 권유했습니다.,,same_as_korean,11
3,건강검진,健康診断;全身的な健康状態をチェックするための健康診断,examples.tl,5,予約電話,건강검진 예약을 위해 병원에 전화했습니다.,건강검진 예약을 위해 병원에 전화했습니다.,,same_as_korean,11
3,건강검진,健康診断;全身的な健康状態をチェックするための健康診断,examples.tl,6,結果の確認,건강검진 결과가 정상으로 나와서 안심했습니다.,건강검진 결과가 정상으로 나와서 안심했습니다.,,same_as_korean,11
3,건강검진,健康診断;全身的な健康状態をチェックするための健康診断,examples.tl,7,食事の準備,건강검진 전날에는 금식을 해야 합니다.,건강검진 전날에는 금식을 해야 합니다.,,same_as_korean,11
3,건강검진,健康診断;全身的な健康状態をチェックするための健康診断,examples.tl,8,年齢に基づいた推奨事項,40대부터는 정기적인 건강검진이 더욱 중요합니다.,40대부터는 정기적인 건강검진이 더욱 중요합니다.,,same_as_korean,11
3,건강검진,健康診断;全身的な健康状態をチェックするための健康診断,examples.tl,9,健康診断項目,건강검진에는 혈액 검사와 소변 검사가 포함됩니다.,건강검진에는 혈액 검사와 소변 검사가 포함됩니다.,,same_as_korean,11
3,건조하다,（空気、肌、天候が）乾燥していること,example_tl,,天気,겨울에는 공기가 건조해서 피부 관리에 신경을 써야 해요.,겨울에는 공기가 건조해서 피부 관리에 신경을 써야 해요.,,same_as_korean,11
3,건조하다,（空気、肌、天候が）乾燥していること,examples.tl,1,天気,겨울에는 공기가 건조해서 피부 관리에 신경을 써야 해요.,겨울에는 공기가 건조해서 피부 관리에 신경을 써야 해요.,,same_as_korean,11
3,건조하다,（空気、肌、天候が）乾燥していること,examples.tl,10,冬の日常,건조한 실내에서는 정전기가 자주 발생하므로 가습기가 필요해요.,건조한 실내에서는 정전기가 자주 발생하므로 가습기가 필요해요.,,same_as_korean,11
3,건조하다,（空気、肌、天候が）乾燥していること,examples.tl,2,健康,건조한 날씨에는 물을 자주 마시는 것이 중요해요.,건조한 날씨에는 물을 자주 마시는 것이 중요해요.,,same_as_korean,11
3,건조하다,（空気、肌、天候が）乾燥していること,examples.tl,3,室内環境,난방을 하면 실내가 건조해지므로 가습기를 사용하는 것이 좋아요.,난방을 하면 실내가 건조해지므로 가습기를 사용하는 것이 좋아요.,,same_as_korean,11
3,건조하다,（空気、肌、天候が）乾燥していること,examples.tl,4,スキンケア,세수 후 피부가 건조하지 않도록 보습 크림을 바르는 것이 중요해요.,세수 후 피부가 건조하지 않도록 보습 크림을 바르는 것이 중요해요.,,same_as_korean,11
3,건조하다,（空気、肌、天候が）乾燥していること,examples.tl,5,洗濯物,건조한 날씨에는 빨래가 빨리 마르는 장점이 있어요.,건조한 날씨에는 빨래가 빨리 마르는 장점이 있어요.,,same_as_korean,11
3,건조하다,（空気、肌、天候が）乾燥していること,examples.tl,6,食材の保管,건조한 식품은 서늘하고 건조한 곳에 보관해야 변질되지 않아요.,건조한 식품은 서늘하고 건조한 곳에 보관해야 변질되지 않아요.,,same_as_korean,11
3,건조하다,（空気、肌、天候が）乾燥していること,examples.tl,7,リップケア,입술이 건조할 때는 립밤을 자주 발라 주세요.,입술이 건조할 때는 립밤을 자주 발라 주세요.,,same_as_korean,11
3,건조하다,（空気、肌、天候が）乾燥していること,examples.tl,8,ビル管理,건조한 계절에는 화재 위험이 높아지므로 주의해야 해요.,건조한 계절에는 화재 위험이 높아지므로 주의해야 해요.,,same_as_korean,11
3,건조하다,（空気、肌、天候が）乾燥していること,examples.tl,9,植物の手入れ,흙이 너무 건조하면 식물이 시들기 때문에 물을 자주 줘야 해요.,흙이 너무 건조하면 식물이 시들기 때문에 물을 자주 줘야 해요.,,same_as_korean,11
3,검색,検索;情報を調べる,example_tl,,インターネットの使用,모르는 단어가 있으면 인터넷에서 검색해 보세요.,모르는 단어가 있으면 인터넷에서 검색해 보세요.,,same_as_korean,11
3,검색,検索;情報を調べる,examples.tl,1,インターネットの使用,모르는 단어가 있으면 인터넷에서 검색해 보세요.,모르는 단어가 있으면 인터넷에서 검색해 보세요.,,same_as_korean,11
3,검색,検索;情報を調べる,examples.tl,10,音楽,좋아하는 가수의 노래를 검색해서 들었어요.,좋아하는 가수의 노래를 검색해서 들었어요.,,same_as_korean,11
3,검색,検索;情報を調べる,examples.tl,2,勉強中,나는 숙제를 하기 위해 자료를 검색했다.,나는 숙제를 하기 위해 자료를 검색했다.,,same_as_korean,11
3,검색,検索;情報を調べる,examples.tl,3,ショッピング,싼 물건을 사려고 가격을 검색했어요.,싼 물건을 사려고 가격을 검색했어요.,,same_as_korean,11
3,검색,検索;情報を調べる,examples.tl,4,旅行の計画,여행 가기 전에 호텔을 검색해 놓았다.,여행 가기 전에 호텔을 검색해 놓았다.,,same_as_korean,11
3,검색,検索;情報を調べる,examples.tl,5,ニュースをチェックする,최신 뉴스를 검색하는 습관이 있다.,최신 뉴스를 검색하는 습관이 있다.,,same_as_korean,11
3,검색,検索;情報を調べる,examples.tl,6,図書館,도서관 홈페이지에서 책을 검색할 수 있습니다.,도서관 홈페이지에서 책을 검색할 수 있습니다.,,same_as_korean,11
3,검색,検索;情報を調べる,examples.tl,7,仕事のタスク,업무에 필요한 정보를 빠르게 검색했다.,업무에 필요한 정보를 빠르게 검색했다.,,same_as_korean,11
3,검색,検索;情報を調べる,examples.tl,8,料理,새로운 요리법을 검색해서 저녁을 만들었어요.,새로운 요리법을 검색해서 저녁을 만들었어요.,,same_as_korean,11
3,검색,検索;情報を調べる,examples.tl,9,健康,증상을 검색했더니 다양한 정보가 나왔다.,증상을 검색했더니 다양한 정보가 나왔다.,,same_as_korean,11
3,겉절이,生キムチ（発酵させていない、味付けしてすぐに食べるキムチ）,example_tl,,夕食のテーブルのセッティング,겉절이는 배추를 절이지 않고 바로 무쳐서 먹는 김치예요.,겉절이는 배추를 절이지 않고 바로 무쳐서 먹는 김치예요.,,same_as_korean,11
3,겉절이,生キムチ（発酵させていない、味付けしてすぐに食べるキムチ）,examples.tl,1,夕食のテーブルのセッティング,겉절이는 배추를 절이지 않고 바로 무쳐서 먹는 김치예요.,겉절이는 배추를 절이지 않고 바로 무쳐서 먹는 김치예요.,,same_as_korean,11
3,겉절이,生キムチ（発酵させていない、味付けしてすぐに食べるキムチ）,examples.tl,10,おかず不足を解消,반찬이 없을 때 겉절이 하나만 있어도 밥을 맛있게 먹어요.,반찬이 없을 때 겉절이 하나만 있어도 밥을 맛있게 먹어요.,,same_as_korean,11
3,겉절이,生キムチ（発酵させていない、味付けしてすぐに食べるキムチ）,examples.tl,2,サムギョプサルを食べる,삼겹살 먹을 때 겉절이를 싸서 먹으면 정말 맛있어요.,삼겹살 먹을 때 겉절이를 싸서 먹으면 정말 맛있어요.,,same_as_korean,11
3,겉절이,生キムチ（発酵させていない、味付けしてすぐに食べるキムチ）,examples.tl,3,キムチの種類を解説,겉절이는 담근 날 바로 먹어야 가장 맛있어요.,겉절이는 담근 날 바로 먹어야 가장 맛있어요.,,same_as_korean,11
3,겉절이,生キムチ（発酵させていない、味付けしてすぐに食べるキムチ）,examples.tl,4,食事の準備,냉장고에 있던 배추로 겉절이를 빠르게 만들었어요.,냉장고에 있던 배추로 겉절이를 빠르게 만들었어요.,,same_as_korean,11
3,겉절이,生キムチ（発酵させていない、味付けしてすぐに食べるキムチ）,examples.tl,5,食べ物の推薦,겉절이는 새콤하고 아삭해서 입맛을 돋워 줘요.,겉절이는 새콤하고 아삭해서 입맛을 돋워 줘요.,,same_as_korean,11
3,겉절이,生キムチ（発酵させていない、味付けしてすぐに食べるキムチ）,examples.tl,6,調理方法の比較,묵은 김치와 달리 겉절이는 발효 과정 없이 신선하게 먹어요.,묵은 김치와 달리 겉절이는 발효 과정 없이 신선하게 먹어요.,,same_as_korean,11
3,겉절이,生キムチ（発酵させていない、味付けしてすぐに食べるキムチ）,examples.tl,7,家で料理する,어머니가 오이와 배추로 겉절이를 담가 주셨어요.,어머니가 오이와 배추로 겉절이를 담가 주셨어요.,,same_as_korean,11
3,겉절이,生キムチ（発酵させていない、味付けしてすぐに食べるキムチ）,examples.tl,8,季節の食べ物,여름에는 시원한 겉절이가 입맛에 잘 맞아요.,여름에는 시원한 겉절이가 입맛에 잘 맞아요.,,same_as_korean,11
3,겉절이,生キムチ（発酵させていない、味付けしてすぐに食べるキムチ）,examples.tl,9,韓国料理のご紹介,외국 친구에게 겉절이를 소개했더니 매우 좋아했어요.,외국 친구에게 겉절이를 소개했더니 매우 좋아했어요.,,same_as_korean,11
3,경유,途中降機。トランジット;目的地に向かう途中の場所を経由する,examples.tl,10,出張の準備,출장 일정이 빠듯해서 경유 없는 직항편으로 예약했습니다.,출장 일정이 빠듯해서 경유 없는 직항편으로 예약했습니다.,,same_as_korean,8
